                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                0.44687,                0.47105,                 1.0467,                 0.8793,                0.85251,                0.88969,                0.72137,                 0.7467,                0.70633,                 1.3201,             9.3082e-05,             9.3082e-05,             9.3082e-05
                    138,                0.46051,                0.49903,                  1.061,                0.90064,                0.83677,                0.88818,                0.72395,                0.74539,                0.70798,                 1.3198,             8.7082e-05,             8.7082e-05,             8.7082e-05
                    139,                0.46464,                  0.486,                 1.0655,                 0.8854,                0.84714,                0.89331,                0.72284,                0.74716,                0.71969,                 1.3143,             8.1083e-05,             8.1083e-05,             8.1083e-05
                    140,                0.45304,                0.48713,                 1.0578,                0.92029,                0.83387,                    0.9,                0.72164,                0.75895,                 0.6956,                 1.3203,             7.5083e-05,             7.5083e-05,             7.5083e-05
                    141,                0.33197,                 0.3569,                0.98469,                0.89794,                0.84465,                0.89191,                0.71072,                0.78444,                 0.6923,                 1.3611,             6.9084e-05,             6.9084e-05,             6.9084e-05
                    142,                0.32179,                 0.3206,                0.96672,                0.90523,                0.83696,                0.89726,                0.72236,                0.76058,                0.68687,                 1.3484,             6.3085e-05,             6.3085e-05,             6.3085e-05
                    143,                0.30579,                0.30165,                0.95221,                 0.8875,                0.84735,                0.89963,                0.73059,                0.75577,                0.68041,                 1.3439,             5.7085e-05,             5.7085e-05,             5.7085e-05
                    144,                0.30459,                0.29883,                0.95684,                0.90388,                0.85034,                0.90125,                0.74355,                0.74269,                0.68552,                 1.3233,             5.1086e-05,             5.1086e-05,             5.1086e-05
                    145,                  0.297,                0.29322,                0.93822,                0.87985,                0.87295,                0.90189,                0.74402,                0.73425,                0.67745,                 1.3252,             4.5086e-05,             4.5086e-05,             4.5086e-05
                    146,                0.28503,                0.28386,                0.93143,                0.90435,                0.85803,                0.90162,                 0.7416,                0.73998,                0.68326,                 1.3209,             3.9087e-05,             3.9087e-05,             3.9087e-05
                    147,                0.28399,                0.27946,                0.94229,                0.90657,                0.85816,                0.90326,                0.74258,                0.73431,                0.68992,                 1.3175,             3.3088e-05,             3.3088e-05,             3.3088e-05
                    148,                0.28429,                0.28224,                  0.932,                0.91477,                0.83766,                0.90013,                0.74154,                0.74231,                0.69648,                 1.3316,             2.7088e-05,             2.7088e-05,             2.7088e-05
                    149,                0.28205,                0.28884,                0.94397,                0.87715,                0.87054,                0.90179,                0.74247,                0.74136,                0.68741,                 1.3304,             2.1089e-05,             2.1089e-05,             2.1089e-05
                    150,                 0.2841,                0.28384,                0.93916,                0.87791,                0.87046,                0.90115,                0.74225,                0.74284,                 0.6847,                  1.328,             1.5089e-05,             1.5089e-05,             1.5089e-05
